"","variable","label"
"705","hudens_sqkm","Housing unit density, housing units/sq. km., derived"
"706","jobdens_sqkm","Employment density, jobs/sq. km., derived"
"707","retail_food_accom_jobdens_sqkm","Employment in retail trade, food service and accommodation density (NAICS 44, 45, 72), jobs/sq. km., derived"
"708","tr_acc_30","Number of jobs accessible via transit within 30 minutes"
"709","org","org"
"710","deployment","Deployment"
"711","StartDate","Start Date"
"712","EndDate","End Date"
"713","Finished","Finished"
"714","Progress","Progress"
"715","Duration (in seconds)","Duration (in seconds)"
"716","ResponseId","Response ID"
"717","resp_source_harm","Respondent source, harmonized"
"718","resp_source_w1a","Where did you hear about this survey?"
"719","resp_source_w1b","Where did you hear about this survey? - Selected Choice"
"720","resp_source_7_TEXT_w1b","Where did you hear about this survey? - Other, please specify: - Text"
"721","comments","If you have any additional comments related to the survey, you are welcome to share them in the space below."
"722","weight_full","Weight for full sample"
"723","weight_w1b","Weight for w2 sample (deployment != asu_convenience_sample)"
"724","missing_weighting_vars","Number of weighting variables that were imputed"
"725","infogroup_incentive_w1b","Sincere thanks for spending your time to take this survey today. As a token of our appreciation, we are providing $10 to every 20th respondent among the first 4000 responses. What would you like to do with these funds, if you are selected?"
"726","unwilling_recontact_1_w1b","unwilling_recontact - Please click here if you are NOT willing to be contacted for a follow-up survey"
"727","bad_email_w1b","Respondent provided a bad email address"
