Study ID,PTSDpubs ID,"Author, Year",Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Adjusted Variables in Statistical Analysis,Method for Handling Missing Data,Statistical Analysis,Arms Compared,Assessment Point,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,EPC Calculated: Comparison Standardized Effect Size,EPC Calculated: Comparison Standardized Effect Size Standard Error,EPC Calculated: Comparison Standardized Effect Size 95% CI Lower Bound,EPC Calculated: Comparison Standardized Effect Size 95% CI Upper Bound,EPC Calculated: Comparison  Standardized Effect Size Data Source,Score Difference 1 Detail,Comparison Score Difference 1 Adjusted Indicator,Score Difference 1,Comparison Score Difference 1 Calculated Indicator,Score Difference 1 Standard Deviation,Comparison Score Difference 1 SE Calculated Indicator,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Comparison Score Difference 1 p value,Score Difference 2 Detail,Comparison Score Difference 2 Adjusted Indicator,Score Difference 2,Comparison Score Difference 2 Calculated Indicator,Score Difference 2 Standard Deviation,Comparison Score Difference 2 SE Calculated Indicator,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Comparison Score Difference 2 p value,unique_row_identifier,Citation,Study Publication Year,Study Class,Overall ROB Assessment (Study Level),Military Status (Study Level),Race/Ethnicity Reported (Study Level),Trauma Type (Study Level),Trauma Detail (Study Level),Total N Randomized (Study Level),Treatment Focus (Study Level)
ramaswamy2016,1551835,"Ramaswamy, 2016",Structured Clinical Interview,CAPS,CAPS,Completer,,Mixed effects models,"Repeated measures mixed effects models, paired t-tests for continuous outcomes; Fisher's exact test for response",A vs B,0,Group x Time interaction,,,,,,p=0.62,,,,,,,,-0.162,0.401,-0.948,0.624,Follow-up,Endpoint difference; p=1.0,,,,,,,,,,,,,,,,,,ramaswamy2016_Structured Clinical Interview_CAPS_Completer_A vs B_0,"Ramaswamy S, Driscoll D, Smith LM, et al. Failed efficacy of ziprasidone in the treatment of post-traumatic stress disorder. Contemp Clin Trials Commun. 2016 Dec;2:1-5. doi: 10.1016/j.conctc.2015.12.003. PMID: 29736440.",2016,Pharmacotherapy,High,Community,Not reported,Mixed,"rape/sexual assault, community/school violence, other (not specified)",30,PTSD
ramaswamy2016,1551835,"Ramaswamy, 2016",Structured Clinical Interview,TOP-8,TOP-8,Completer,,Mixed effects models,"Repeated measures mixed effects models, paired t-tests for continuous outcomes; Fisher's exact test for response",A vs B,0,,,,,,,p=0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaswamy2016_Structured Clinical Interview_TOP-8_Completer_A vs B_0,"Ramaswamy S, Driscoll D, Smith LM, et al. Failed efficacy of ziprasidone in the treatment of post-traumatic stress disorder. Contemp Clin Trials Commun. 2016 Dec;2:1-5. doi: 10.1016/j.conctc.2015.12.003. PMID: 29736440.",2016,Pharmacotherapy,High,Community,Not reported,Mixed,"rape/sexual assault, community/school violence, other (not specified)",30,PTSD
ramaswamy2017,49046,"Ramaswamy, 2017",Structured Clinical Interview,CAPS,CAPS,Completer,Site,,ANOVA,A vs B,0,,,,,,,p=0.68,,,,,,,,-0.004,0.292,-0.577,0.569,Follow-up,,,,,,,,,,,,,,,,,,,ramaswamy2017_Structured Clinical Interview_CAPS_Completer_A vs B_0,"Ramaswamy S, Driscoll D, Reist C, et al. A double-blind, placebo-controlled randomized trial of vilazodone in the treatment of posttraumatic stress disorder and comorbid depression. Prim Care Companion CNS Disord. 2017 Aug 24;19(4):17m02138. doi: 10.4088/PCC.17m02138. PMID: 28858440.",2017,Pharmacotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,59,PTSD
ramaswamy2017,49046,"Ramaswamy, 2017",Self report,PSS-SR,PSS-SR,Completer,Site,,ANOVA,A vs B,0,,,,,,,p=0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ramaswamy2017_Self report_PSS-SR_Completer_A vs B_0,"Ramaswamy S, Driscoll D, Reist C, et al. A double-blind, placebo-controlled randomized trial of vilazodone in the treatment of posttraumatic stress disorder and comorbid depression. Prim Care Companion CNS Disord. 2017 Aug 24;19(4):17m02138. doi: 10.4088/PCC.17m02138. PMID: 28858440.",2017,Pharmacotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,59,PTSD
rankins2024,1635204,"Rankins, 2024",Self report,PCL,PCL-5,ITT,,No missing data,Independent sample t-test with equal variance,A vs B,1,,,,,,,,,,,,,,,-1.2,0.798,-2.763,0.363,Change,independent sample t-test for change scores,Unadjusted,,,,,,,p=0.0989,,,,,,,,,,rankins2024_Self report_PCL-5_ITT_A vs B_1,"Rankins EM, Quinn A, McKeever KH, et al. Ground-based adaptive horsemanship lessons for veterans with post-traumatic stress disorder: a randomized controlled pilot study. Front Psychiatry. 2024;15(1390212). doi: 10.3389/fpsyt.2024.1390212. PMID: 38863605.",2024,Other study class,High,Veteran,Race and Ethnicity data reported,,,9,PTSD
rankins2024,1635204,"Rankins, 2024",Self report,PCL,PCL-5,ITT,,No missing data,Independent sample t-test with equal variance,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rankins2024_Self report_PCL-5_ITT_NA_26,"Rankins EM, Quinn A, McKeever KH, et al. Ground-based adaptive horsemanship lessons for veterans with post-traumatic stress disorder: a randomized controlled pilot study. Front Psychiatry. 2024;15(1390212). doi: 10.3389/fpsyt.2024.1390212. PMID: 38863605.",2024,Other study class,High,Veteran,Race and Ethnicity data reported,,,9,PTSD
rankins2024,1635204,"Rankins, 2024",Self report,PCL,PCL-5,ITT,,No missing data,Independent sample t-test with equal variance,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rankins2024_Self report_PCL-5_ITT_NA_8,"Rankins EM, Quinn A, McKeever KH, et al. Ground-based adaptive horsemanship lessons for veterans with post-traumatic stress disorder: a randomized controlled pilot study. Front Psychiatry. 2024;15(1390212). doi: 10.3389/fpsyt.2024.1390212. PMID: 38863605.",2024,Other study class,High,Veteran,Race and Ethnicity data reported,,,9,PTSD
raskind2003,25442,"Raskind, 2003",Structured Clinical Interview,CAPS,CAPS,ITT,,LOCF,Change scores compared with 2-tailed paired t tests; effect sizes calculated as mean posttreatment prazosin score minus mean posttreatment placebo score divided by the standard deviation of the posttreatment placebo score,A vs B,0,,,0.7,,,,p<0.01,,,,,,,,-0.897,0.474,-1.826,0.032,Follow-up,,,,,,,,,,,,,,,,,,,raskind2003_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Raskind MA, Peskind ER, Kanter ED, et al. Reduction of nightmares and other PTSD symptoms in combat veterans by prazosin: a placebo-controlled study. Am J Psychiatry. 2003 Feb;160(2):371-3. doi: 10.1176/appi.ajp.160.2.371. PMID: 12562588.",2003,Pharmacotherapy,High,Veteran,Not reported,Combat-related,,10,PTSD
raskind2007,29403,"Raskind, 2007",Structured Clinical Interview,CAPS,CAPS,Completer,"Baseline scores, age, gender, ethnicity, combat exposure",LOCF,Multivariate linear and logistic regression analyses,A vs B,0,,,,,,,p=0.03,,,,,,,,-0.372,0.346,-1.05,0.307,Follow-up,,,,,,,,,,,,,,,,,,,raskind2007_Structured Clinical Interview_CAPS_Completer_A vs B_0,"Raskind MA, Peskind ER, Hoff DJ, et al. A parallel group placebo controlled study of prazosin for trauma nightmares and sleep disturbance in combat veterans with post-traumatic stress disorder. Biol Psychiatry. 2007 Apr 15;61(8):928-34. doi: 10.1016/j.biopsych.2006.06.032. PMID: 17069768.",2007,Pharmacotherapy,Some Concerns,Veteran,Race and Ethnicity data reported,Combat-related,,40,PTSD
raskind2013,41028,"Raskind, 2013",Structured Clinical Interview,CAPS,CAPS,ITT,Gender and antidepressant use,Linear mixed-effects models,Linear mixed-effects models for continuous outcomes; generalized linear-effects model for response,A vs B,0,,,,,,,p=0.02,,,,,,,,-1.027,0.315,-1.645,-0.409,Follow-up,,,11.3,,4.6390000000000002,calculated from CI,2,20.7,,,,,,,,,,,raskind2013_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Raskind MA, Peterson K, Williams T, et al. A trial of prazosin for combat trauma PTSD with nightmares in active-duty soldiers returned from Iraq and Afghanistan. Am J Psychiatry. 2013 Sep;170(9):1003-10. doi: 10.1176/appi.ajp.2013.12081133. PMID: 23846759.",2013,Pharmacotherapy,Some Concerns,Mixed,Race and Ethnicity data reported,Combat-related,,67,PTSD
raskind2018,49659,"Raskind, 2018",Structured Clinical Interview,CAPS,CAPS,Completer,"Site, antidepressant use, and timing of trauma (before vs on or after the 10/07/01 U.S. invasion of Afghanistan)","Missing data excluded (sensitivity analysis was conducted using imputation, and ""results were similar."")",Two-sample t-tests and linear mixed models,A vs B,0,,,,,,,p=0.481,,,,,,,,0.089,0.128,-0.161,0.34,Follow-up,,,-2.1,,2.944,calculated from CI,-7.9,3.7,,,,,,,,,,,raskind2018_Structured Clinical Interview_CAPS_Completer_A vs B_0,"Raskind MA, Peskind ER, Chow B, et al. Trial of prazosin for post-traumatic stress disorder in military veterans. N Engl J Med. 2018 Feb 8;378(6):507-17. doi: 10.1056/NEJMoa1507598. PMID: 29414272.",2018,Pharmacotherapy,High,Veteran,Race and Ethnicity data reported,Combat-related,,304,PTSD
raskind2018,49659,"Raskind, 2018",Self report,PCL,PCL-M,Completer,"Site, antidepressant use, and timing of trauma (before vs on or after the 10/07/01 U.S. invasion of Afghanistan)","Missing data excluded (sensitivity analysis was conducted using imputation, and ""results were similar."")",Two-sample t-tests and linear mixed models,A vs B,0,,,,,,,p=0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raskind2018_Self report_PCL-M_Completer_A vs B_0,"Raskind MA, Peskind ER, Chow B, et al. Trial of prazosin for post-traumatic stress disorder in military veterans. N Engl J Med. 2018 Feb 8;378(6):507-17. doi: 10.1056/NEJMoa1507598. PMID: 29414272.",2018,Pharmacotherapy,High,Veteran,Race and Ethnicity data reported,Combat-related,,304,PTSD
rasmusson2017,48368,"Rasmusson, 2017",Structured Clinical Interview,CAPS,CAPS,ITT,"Baseline CAPS score, age, sex, smoking, depression, TBI",,Mixed model repeated measures analysis of CAPS score change from baseline; generalized estimating equation model for response,A vs B,0,,,,,,,p=0.55,,,,,,,,-0.119,0.201,-0.513,0.275,Change,,,,,,,,,,,,,,,,,,,rasmusson2017_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Rasmusson AM, Marx CE, Jain S, et al. A randomized controlled trial of ganaxolone in posttraumatic stress disorder. Psychopharmacology (Berl). 2017;234(15):2245-57. doi: 10.1007/s00213-017-4649-y. PMID: 28667510.",2017,Pharmacotherapy,Low,Mixed,Race and Ethnicity data reported,Mixed,"combat-related, child physical abuse, child sexual abuse, child other abuse",112,PTSD
rasmusson2017,48368,"Rasmusson, 2017",Self report,PCL,PCL,ITT,"Baseline CAPS score, age, sex, smoking, depression, TBI",,Mixed model repeated measures analysis of CAPS score change from baseline; generalized estimating equation model for response,A vs B,0,,,,,,,p=0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rasmusson2017_Self report_PCL_ITT_A vs B_0,"Rasmusson AM, Marx CE, Jain S, et al. A randomized controlled trial of ganaxolone in posttraumatic stress disorder. Psychopharmacology (Berl). 2017;234(15):2245-57. doi: 10.1007/s00213-017-4649-y. PMID: 28667510.",2017,Pharmacotherapy,Low,Mixed,Race and Ethnicity data reported,Mixed,"combat-related, child physical abuse, child sexual abuse, child other abuse",112,PTSD
rauch2015,43645,"Rauch, 2015",Structured Clinical Interview,CAPS,CAPS,Completer,None,,Repeated measures ANOVAs with Greenhouse-Geisser corrections and post hoc t-tests,A vs B,0,Time x Treatment interaction,,,,,,p=0.008,Difference at endpoint,Cohen's d,0.98,,,,p=0.03,-0.917,0.42,-1.74,-0.093,Follow-up,,,,,,,,,,,,,,,,,,,rauch2015_Structured Clinical Interview_CAPS_Completer_A vs B_0,"Rauch SAM, King AP, Abelson JL, et al. Biological and symptom changes in posttraumatic stress disorder treatment: a randomized clinical trial. Depress Anxiety. 2015 Mar;32(3):204-12. doi: 10.1002/da.22331. PMID: 25639570.",2015,Psychotherapy,High,Veteran,Race data reported,,,36,PTSD
rauch2015,43645,"Rauch, 2015",Structured Clinical Interview,CAPS,CAPS,ITT,None,,Repeated measures ANOVAs with Greenhouse-Geisser corrections and post hoc t-tests,A vs B,0,Time x Treatment interaction; between-group CAPS effect size only,,,,,,p=0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2015_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Rauch SAM, King AP, Abelson JL, et al. Biological and symptom changes in posttraumatic stress disorder treatment: a randomized clinical trial. Depress Anxiety. 2015 Mar;32(3):204-12. doi: 10.1002/da.22331. PMID: 25639570.",2015,Psychotherapy,High,Veteran,Race data reported,,,36,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs B,0,B vs A,Cohen's d,0.28,,,,p=0.16,,,,,,,,-0.308,0.21,-0.719,0.102,Follow-up,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs B,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_A vs B_28.1,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs C,0,,,,,,,,,,,,,,,0.06,0.194,-0.319,0.44,Follow-up,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_A vs C_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs C,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_A vs C_28.1,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,B vs C,0,,Cohen's d,0.38,,,,p=0.05,,,,,,,,0.381,0.206,-0.023,0.785,Follow-up,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_B vs C_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,B vs C,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_B vs C_28.1,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Structured Clinical Interview,CAPS,CAPS,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,Omnibus,28.1,Group x Time interaction,,,,,,p=0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Structured Clinical Interview_CAPS_ITT_Omnibus_28.1,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Self report,PCL,PCL Specific Stressor Version,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs B,0,Endpoint difference,,,,,,p=0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Self report_PCL Specific Stressor Version_ITT_A vs B_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Self report,PCL,PCL Specific Stressor Version,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,A vs C,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Self report_PCL Specific Stressor Version_ITT_A vs C_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
rauch2019,51290,"Rauch, 2019",Self report,PCL,PCL Specific Stressor Version,ITT,Site,Mixed-effects model,Mixed model of repeated measures with interaction of ln (time) and treatment group,B vs C,0,Endpoint difference,,,,,,p=0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rauch2019_Self report_PCL Specific Stressor Version_ITT_B vs C_0,"Rauch SAM, Kim HM, Powell C, et al. Efficacy of prolonged exposure therapy, sertraline hydrochloride, and their combination among combat veterans with posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2019 Feb 1;76(2):117-26. doi: 10.1001/jamapsychiatry.2018.3412. PMID: 30516797.",2019,Psychotherapy & pharmacotherapy,High,Mixed,Race and Ethnicity data reported,Combat-related,,223,PTSD
ready2010,34258,"Ready, 2010",Structured Clinical Interview,CAPS,CAPS,ITT,,NR (study states that missing data were not imputed using LOCF),"Mixed-design ANOVA, Cohen's d, and dependent sample t-test for change in mean score, Fisher's exact test for clinically meaningful response",A vs B,0,,,,,,,,,,,,,,,-0.51,0.689,-1.86,0.84,Follow-up,,,,,,,,,,,,,,,,,,,ready2010_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Ready DJ, Gerardi RJ, Backscheider AG, et al. Comparing virtual reality exposure therapy to present-centered therapy with 11 U.S. Vietnam veterans with PTSD. Cyberpsychol Behav Soc Netw. 2010 Feb;13(1):49-54.  PMID: 20528293.",2010,Psychotherapy,High,Veteran,Race data reported,Combat-related,,11,PTSD
ready2010,34258,"Ready, 2010",Structured Clinical Interview,CAPS,CAPS,ITT,,NR (study states that missing data were not imputed using LOCF),"Mixed-design ANOVA, Cohen's d, and dependent sample t-test for change in mean score, Fisher's exact test for clinically meaningful response",A vs B,26,Treatment x Time interaction,,,,,,p>0.05,,,,,,,,-0.866,0.722,-2.281,0.548,Follow-up,,,,,,,,,,,,,,,,,,,ready2010_Structured Clinical Interview_CAPS_ITT_A vs B_26,"Ready DJ, Gerardi RJ, Backscheider AG, et al. Comparing virtual reality exposure therapy to present-centered therapy with 11 U.S. Vietnam veterans with PTSD. Cyberpsychol Behav Soc Netw. 2010 Feb;13(1):49-54.  PMID: 20528293.",2010,Psychotherapy,High,Veteran,Race data reported,Combat-related,,11,PTSD
ready2018,1533924,"Ready, 2018",Structured Clinical Interview,CAPS,CAPS,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,0,,,,,,,,,,,,,,,-0.168,0.235,-0.628,0.292,Follow-up,,,,,,,,,,,,,,,,,,,ready2018_Structured Clinical Interview_CAPS_ITT_A vs B_0,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
ready2018,1533924,"Ready, 2018",Structured Clinical Interview,CAPS,CAPS,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,16,,,,,,,,,,,,,,,0.027,0.227,-0.417,0.471,Follow-up,,,,,,,,,,,,,,,,,,,ready2018_Structured Clinical Interview_CAPS_ITT_A vs B_16,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
ready2018,1533924,"Ready, 2018",Structured Clinical Interview,CAPS,CAPS,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,52,,,,,,,p=0.74,,,,,,,,-0.079,0.243,-0.555,0.397,Follow-up,,,,,,,,,,,,,,,,,,,ready2018_Structured Clinical Interview_CAPS_ITT_A vs B_52,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
ready2018,1533924,"Ready, 2018",Self report,PCL,PCL-M,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ready2018_Self report_PCL-M_ITT_A vs B_0,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
ready2018,1533924,"Ready, 2018",Self report,PCL,PCL-M,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ready2018_Self report_PCL-M_ITT_A vs B_16,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
ready2018,1533924,"Ready, 2018",Self report,PCL,PCL-M,ITT,,BOCF for patients who drop out of treatment and were lost to followup. Left missing for patients who were lost to followup but continued treatment. Imputation for patients who completed treatment,Multilevel mixed model,A vs B,52,,,,,,,p=0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ready2018_Self report_PCL-M_ITT_A vs B_52,"Ready DJ, Mascaro N, Wattenberg MS, et al. A controlled study of group-based exposure therapy with Vietnam-era veterans. J Loss Trauma. 2018;23(6):439-57. doi: 10.1080/15325024.2018.1485268.",2018,Psychotherapy,Some Concerns,Veteran,Race data reported,Combat-related,,81,PTSD
reeve2020,1555617,"Reeve, 2020",Self report,PCL,PCL-5,Completer,,,independent and paired t-tests,A vs B,0,,,,,,,p=0.003,,,,,,,,-1.004,0.342,-1.674,-0.333,Follow-up,,,,,,,,,,,,,,,,,,,reeve2020_Self report_PCL-5_Completer_A vs B_0,"Reeve K, et al. Examining the impact of a Healing Touch intervention to reduce posttraumatic stress disorder symptoms in combat veterans. Psychological Trauma: Theory, Research, Practice, and Policy. 2020. doi: 10.1037/tra0000591.",2020,CIH,High,Veteran,Not reported,,,40,PTSD
reeve2020,1555617,"Reeve, 2020",Self report,PCL,PCL-5,Completer,,,independent and paired t-tests,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reeve2020_Self report_PCL-5_Completer_NA_12,"Reeve K, et al. Examining the impact of a Healing Touch intervention to reduce posttraumatic stress disorder symptoms in combat veterans. Psychological Trauma: Theory, Research, Practice, and Policy. 2020. doi: 10.1037/tra0000591.",2020,CIH,High,Veteran,Not reported,,,40,PTSD
