"agency_acronym","agency_name","active_agency_name","policy_area","data_coordinator_appointed","data_inventory_or_inventory","open_data_plan_submitted","agency_open_data_publishing","agency_open_data_plan","current_reporting_period"
"OBNM","Oregon Board of Naturopathic Medicine","NATUROPATHIC MEDICINE, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Mission Statement: The mission of the Oregon Board of Naturopathic Medicine (Board) is to regulate, through the Oregon Revised Statutes and Administrative Rules, the practices of naturopathic medicine to ensure protection of the public. The Board promotes excellence in the practice of naturopathic medicine by assuring quality education, regulating naturopathic practices, and fostering ongoing public outreach. In this manner, the Board cultivates public trust and safety by ensuring the State of Oregon is served by naturopathic professionals providing the highest standards of care.

Board Responsibilities: Develops policy and sets standards of practice; Reviews applications and issues licenses to qualified applicants; Investigates complaints and takes appropriate disciplinary action when violations are found to have occurred; Monitors and enforces Oregon Revised Statutes and Administrative Rules pertaining to the practice of naturopathic medicine in the State of Oregon.

Board Commitment: The Board is committed to maintaining inventory of information assets and managing data sets.  The Board will ensure both the Executive Director and Administrative Specialist will engage in best practices; remain knowledgeable about Board data, its origins, and is available to answer questions about Board data and/or route questions to the appropriate parties. The Executive Director and Administrative Specialist will ensure transparency of information that is not protected from disclosure, by making appropriate data available for public consumption, in a manner that will not jeopardize the privacy or security of agency employees, clients or partners.","2025"
"OBO","Oregon Board of Optometry","HEALTH RELATED LICENSING BRDs - OPTO","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Board of Optometry (OBO) is a semi-independent state agency that is responsible for the licensing and regulation of the optometry profession in Oregon. 

The board was established and operates under the authority of ORS 683.010 to 683.340 and 676.110 to 676.230. OAR Chapter 852. OBO is a state agency with a strong commitment to serving the public, consumers, and licensees of the State of Oregon. The primary mission of OBO is consumer protection. This is achieved by promoting the highest standards for licensure through four (4) major program areas: Education, Examinations, Licensing, and Enforcement.

The OBO protects the public by issuing licenses to those individuals who have demonstrated professional competence and continue to maintain their professional competence through continued education. 

OBO is committed to regulating optometry in the State of Oregon without unnecessary regulatory oversight of licensees and by providing fair and accessible entry into the profession that meets the standards and requirements. OBO is a 2-person agency and is able to complete a license application within 1-2 days of receiving all required documentation. Board staff process between 40-50 new license applications each year. 

The Board also processes complaints against licensees. Between 30-40 complaints may be filed each year. 

OBO has inventoried ten (10) datasets and identified datasets related to licensed optometrists licensure status as the most ready and valued dataset to publicsh this biennium. This datasets are the lists of active and inactive status licenses. This dataset includes mailing address information. This dataset is already published on the OBO’s website, and is available for ordering through the website. 

We have reviewed our inventory for this cycle and have published what is currently available. We have additional information available on our website, but it is not available in downloadable format—e.g. our licensee search function that shows licensee history including any disciplinary and malpractice history and copies of the pdf documents.","2025"
"OBPT","Oregon Board of Physical Therapy","HEALTH RELATED LICENSING BRDs - PT","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Board of Physical Therapy (OBPT) licenses and regulates physical therapists (PT) and physical therapists assistants (PTA) throughout the state. In the interest of public protection, the Board assures that PTs and PTAs are properly educated, hold current and valid licenses, practice within their scope, and continue to receive ongoing training throughout their careers. 

OBPT has inventoried 5 datasets, of which 3 are already publicly available through the Board’s public-facing licensing portal. These datasets are searchable, but the Board identified in 2022 that publishing an existing dataset on disciplinary actions in a different format for ease of use was a high priority. That dataset is now available on the board's website, as of early 2023. The board intends to expand dataset offerings following the migration of the existing database to an updated platform that allows additional reporting and export options. That work is anticipated to be completed by Fall 2024.","2025"
"OBTP","Board of Tax Practitioners","TAX PRACTITIONERS, ST BRD OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Board of Tax Practitioners is dedicated to protecting Oregon Tax Clients by ensuring the highest standards for tax preparation for anyone who wants to complete an Oregon Personal Income Tax Return for a fee. Our mission is to protect Oregon consumers by ensuring Oregon Tax Practitioners are competent and ethical in their professional activities.  The Oregon Board of Tax Practitioners is steadfast commitment to the best interests of our licensees, their clients, and the economy. OBTP has identified data sets that are related to our exams, licensing, renewals and meetings. Allowable publications are published on the OBTP website.","2025"
"OCB","Oregon Commission for the Blind","BLIND, CMSN FOR THE","HEALTH","COMPLETED","COMPLETED","PENDING","PENDING",,"2025"
"ODA","Oregon Department of Agriculture","AGRICULTURE, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","During the current biennium, ODA will continue to maintain existing datasets on data.oregon.gov, on behalf of its Fertilizer Program including product registration, stop sale, use and removal orders, sample results and tonnage.  ODA will also continue to maintain previously published GIS/Map boundary and layer information on ArcGIS Online, regarding its Confined Animal Feeding Operation (CAFO), Insect Pest Prevention and Management (IPPM) and Agriculture Water Quality Programs.
ODA has identified datasets related to Food Safety as the most valuable resources to publish for this biennium (2025-27). ODA is still in the planning phase regarding these Food Safety datasets which encompass food safety inspection, violation and food recall information.","2025"
"ODAV","Oregon Department of Aviation","AVIATION, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Department of Aviation (ODAV) enables and advocates for a safe and efficient aviation system that connects communities and drives economic growth. ODAV's vision is to be a leader in connecting and protecting communities through a resilient, sustainable and technologically advanced aviation system that prepares Oregon for the future. 

ODAV has identified 11 datasets in ODAV’s data inventory which include data in the program areas of Aircraft Registration, Operations and the Aviation System Action Program (ASAP).  ODAV has identified the dataset related to all public use airports in Oregon as the most ready and valuable resource to publish during the current biennium.  This dataset includes airport name, address, type of use, dimensions, surface type, magnetic bearings of runway, elevation and a site map. ODAV has plans to publish this one dataset before July of 2027 to data.oregon.gov.","2025"
"ODE","Oregon Department of Education","EDUCATION, DEPT OF","EDUCATION","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Department of Education (ODE) oversees the education of over 540,000 students in the Oregon public K-12 education system. This includes more than 1,200 public K-12 schools organized into 197 School Districts and 19 Education Service Districts. Over 100 of these schools are public charter schools. These schools and districts employ over 89,000 teachers, administrators, and other school and district staff. While ODE is not in the classroom directly providing services, we foster equity and excellence for every learner through collaboration with educators, partners, and communities.

ODE collects and maintains data on public school students, staff and schools in order to meet state and federal reporting and evaluation requirements for public education.  ODE has completed an inventory of 61 datasets collected through our Consolidated Collections system.  ODE is working on an inventory of other datasets that the agency holds.  Many of these datasets contain information that is protected from disclosure by state and federal privacy laws, and can only be published in aggregate and suppressed format.

ODE is still developing the list of data sets to publish, but the priority for publication on data.oregon.gov includes institution-level information that is not covered by federal or state privacy laws. Our plan is to have at least one of these datasets published by January 1, 2026, with more published before the end of the biennium.","2025"
"ODF","Oregon Department of Forestry","FORESTRY, DEPT OF","NATURAL RESOURCES","COMPLETED","PARTIAL","COMPLETED","PLANNING","The mission of the Oregon Department of Forestry is to serve the people of Oregon by protecting, managing, and promoting stewardship of Oregon's forests to enhance environmental, economic, and community sustainability.

ODF has identified 19 data sets to be published. These include fire protection/prevention information, forest activity tracking, timber sales and associated activity tracking, recreational use permits, land use agreements with private and federal landowners, forest monitoring and enforcement activities.

ODF will begin cataloging our current externally accessible datasets in the current biennium with the intent to publish the data on data.oregon.gov by the end of the biennium. Once this is complete ODF will catalog the higher priority data sets.","2025"
"ODFW","Oregon Department of Fish and Wildlife","FISH & WILDLIFE, DEPT OF","NATURAL RESOURCES","COMPLETED","PARTIAL","COMPLETED","PLANNING","The agency convened an Open Data Workgroup in late 2024 that evaluated an existing “Natural Resources” data inventory and submitted an expanded (however still partial) Open Data Inventory to the Open Data Portal in March 2025.  In April 2025 ODFW identified a permanent Open Data Coordinator.  We intend to reconvene the agency Open Data Workgroup in the summer of 2025 to further evaluate and more completely report on previously inventoried datasets by March of 2026.","2025"
"ODOE","Oregon Department of Energy","ENERGY, DEPT OF","NATURAL RESOURCES","COMPLETED","COMPLETED","PENDING","PENDING",,"2025"
"ODOT","Oregon Department of Transportation","TRANSPORTATION, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","PARTIAL","COMPLETED","PLANNING","ODOT 2024-2026 Open Data Plan
TRANSPORTATION, DEPT OF The Oregon Department of Transportation exercises leadership and vision in promoting, developing, and managing a statewide network of transportation systems and facilities. These systems and facilities provide access to Oregon for the State’s citizens and visitors, provides efficient movement of commerce, goods and services, ensures the safety of transportation systems users, and enhances Oregon’s competitive position in national and international markets. ODOT understands its role in stewarding the valuable data assets it collects and manages and enabling the state and its residents to benefit from their use.  

ODOT has undertaken the following activities in support of progressing with the development of ODOT’s data inventory and facilitating data publication on the open data portal:
•	Developed an evolving data taxonomy that allows potential users to easily identify data by subject areas rather than by organizational structure or system (both of which change more frequently than subject areas).     
•	Developed with CDO's assistance a draft summary inventory sample for submission to the Enterprise Data Inventory, as the detailed data inventory ODOT is developing for its own use does not align directly with needs for the enterprise inventory.
•	Hired a dedicated Data Librarian to act as the ODOT Open Data Coordinator.
•	Spent eight months working with ODOT business lines to gather initial list of formal Data Stewards, including Data Trustees (subject matter experts), and another three months getting updates. We are continuing with this identification process.
•	Developed a tool with user interface and training materials for ODOT’s Coordinating Data Stewards (CDS) to accurately track and maintain the list of formal Data Stewards in their designated division, branch, or business area.
•	Designed and began building the structure of a tool with user interface, that will be released in April of 2025, for agency Data Stewards to use to develop and maintain the ODOT Data Inventory (ODIN).

Through the course of these actions ODOT has determined that, due to the length of time it has taken to identify Data Trustees (subject matter experts), time needed to train them about the inventory and on the new tool, and time for them to update and add to the data inventory, the agency has determined it is best to move to a minimum of quarterly submissions to the enterprise inventory beginning no later than April 1, 2025, with continuing submissions every three months.

In addition to these activities, ODOT 2024-2026 Open Data Plan period will:     
•	Identify data the agency already publishes and assess whether to migrate to or provide links in the Open Data Portal     
•	Develop ODOT’s open data publishing and update processes, which includes transferring ownership of the current assets in the Open Data Portal to the Open Data Coordinator
•	Develop and communicate agency open data publishing guidance or a policy.","2025"
"ODVA","Oregon Department of Veterans Affairs","VETERANS AFFAIRS, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Department of Veterans Affairs works to serve Oregon's military veterans, their families, and dependents through a series of services, outreach programs, grants, educational opportunities, and by supporting Oregon's VA home loan program. The ODVA is responsible for veteran advocacy, state programs, access to federal benefits and policy on behalf of Oregon veterans. Through these wide-ranging responsibilities, the ODVA produces and utilizes a number of different datasets with varying levels of data.

The ODVA is conducting an initial inventory to identify datasets and their prioritization for publishing. Currently ODVA is taking the initial steps to identify data owners, and creation of an approval process for data publishing. Our goal for the next calendar year is to complete this initial identification and approval process so that publication of datasets may begin.","2025"
"OED","Oregon Employment Department","EMPLOYMENT DEPT","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","PLANNING","Oregon Employment Department Open Data Plan
August 30, 2024

The Oregon Employment Department (OED) supports economic stability for Oregonians and communities during times of unemployment through the payment of unemployment benefits; serves businesses by recruiting and referring the best qualified applicants to jobs, and provides resources to diverse job seekers in support of their employment needs; develops and distributes quality workforce and economic information to promote informed decision making; and provides easily accessible paid leave benefits that help Oregon employers and workers maintain quality of life, economic stability, and peace of mind.

The datasets captured within the OED inventory encapsulate the data created as each program area carries out their daily work. The Workforce and Economic Research Division of OED maintains QualityInfo.org, which houses diverse economic and workforce information. Twelve of the highest priority datasets are currently published to QualityInfo.org. The agency plan is to mature the Qualityinfo.org data offerings against the 5-star model for open data and begin publishing to data.oregon.gov in the 2023 – 2025 biennium. Publication will include 1-3 datasets that are accessed most frequently; and include a link to Qualityinfo.org.","2025"
"OEM","Department of Emergency Management","EMERGENCY MANAGEMENT, DEPT OF","PUBLIC SAFETY","COMPLETED","PARTIAL","COMPLETED","PLANNING","It is the mission of the Oregon Department of Emergency Management to lead collaborative state-wide efforts, inclusive of all partners and the communities we serve, to ensure capability to get help in an emergency and to protect, mitigate, prepare for, respond to, and recover from emergencies or disasters regardless of cause.?

The OEM Information Technology team has built a project portfolio focused on modernizing core systems, improving interoperability, and increasing the efficiency and impact of emergency management technology across the state. Projects are prioritized based on alignment with agency strategic goals, scalability, and ability to improve outcomes for the communities we serve.

This open data plan focuses on the basic requirements necessary to meet the agency's objectives in alignment with the State of Oregon's Open Data Initiative. The agency recently assigned an agency open data coordinator and lead data steward to staff this function.

For this next cycle, initiation of a data inventory will be accomplished via the newly appointed agency data steward/open data coordinator. This work will be facilitated by this individual working with each section within the agency. We will determine the scope and breadth of the data maintained within the agency – with a specific focus on structured data in databases, SharePoint lists, and others. This will be an agency-wide initiative and will take considerable staff time to get the “lay of the land” for what is currently done and where that information is stored. Success will be measured by how many sections have contributed content, who has been delegated as individual data stewards within each section, and the completion of the inventory list. Take note that this action is currently scoped for initiating this activity – only because we do not know the full amount of data that the agency currently maintains.

It is our goal to determine specific datasets for sharing within the Open Data platform based on already-existing data served out to the public. As the inventory is accomplished, additional datasets will be shared as applicable.

Overall, it is the agency's prerogative to share necessary datasets to keep our partners and the public informed of necessary data in the emergency management sector, allowing and facilitating a more informed and prepared state.","2025"
"OFVO","Oregon Film and Video Office","OREGON FILM","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","COMPLETED","MAINTENANCE","Oregon Film & Video Office (OFVO) has a mission to promote, support and advance the film, video, interactive, animation and creative content industries within the state by fostering connections between storytellers, productions, businesses and public sectors to strengthen and diversify this industry’s profile and reputation locally, nationally and internationally. OFVO manages the state media incentive programs: the Oregon Production Investment Fund (OPIF) and the Greenlight Oregon Labor Rebate program (GOLR). Within the OPIF program there are two sub-programs focused on local production (“Local” OPIF or L-OPIF) and regional production work (“Regional” OPIF or R-OPIF). In addition, in conjunction with the Department of Revenue, OFVO manages an annual Tax Credit Auction that auctions off discounted state tax credits every year to fund the OPIF program.

OFVO currently publishes and maintains FOUR datasets. Those are - 1) the OPIF Tax Credit Auction Results, 2) OPIF Reimbursements (which includes L-OPIF Reimbursements and R-OPIF Reimbursements), 3) GOLR Reimbursements and 4) payments made through the Creative Opportunity Program. The first dataset details the purchasers of the tax credits, the amounts paid and the tax credit amounts issued to each purchaser. The remaining four datasets detail the payments made, to whom and for what amount, for each media incentive program as well as the outcomes of those payments. These datasets are updated in the 3rd and 4th quarter of every year.","2025"
"OGEC","Oregon Government Ethics Commission","GOVERNMENT ETHICS CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","Agency Mission

The Oregon Government Ethics Commission (OGEC) will impartially and effectively administer and enforce Oregon's Government Ethics Laws for the benefit of Oregon's citizens.  The Commission will emphasize education in achieving its mission.  

OGEC's jurisdiction is Government Ethics, Lobby and Public Meetings Laws.

Agency Function

Comprised of a nine-member citizen commission and fifteen staff members, OGEC is charged with enforcing Oregon Government Ethics Law, Oregon Revised Statute (ORS) Chapter 244, Oregon Lobby Law, ORS 171.725 to 171.785 and 171.992, and Oregon Public Meetings Law, ORS 192.610 and 192.705. The 2023 Legislative session passed House Bill 2805 which expanded OGEC’s jurisdiction from the executive session provisions of Public Meetings Law to its entirety. ORS Chapter 244 relates to financial conflicts of interest, prohibited use of position or office for personal financial gain, nepotism, and gifts to public officials. Additionally, ORS Chapter 244 requires the filing of annual statements of economic interest by certain public officials and candidates. The lobby laws in ORS 171.725 to 171.785 require lobbyists and their employers or clients to register with OGEC and file quarterly reports of their lobbying expenditures. Finally, Public Meetings Law is based upon the policy that the Oregon form of government requires an informed public aware of the deliberations and decisions of governing bodies and the information upon which such decisions were made. It is the intent of ORS 192.610 to 192.705 that decisions of governing bodies be arrived at openly. OGEC enforces these laws through a complaint and investigation process. Public Meetings Law includes a grievance process which is designed to allow governing bodies to cure alleged violations. In addition to enforcement, OGEC provides verbal and written advice to public officials, issues advisory opinions, and provides training for public officials and lobbyists.  

Datasets and Open Data Phase

OGEC is currently in the planning stage open data phase as the agency is currently adjusting to its newest jurisdiction and the additional datasets that will become available with Public Meetings Law. OGEC is currently planning to publish the following multiple datasets: lobbyist registrations, lobbyist expenditures, client-employer registrations, client-employer expenditures, SEI Filers, complaints-correspondence, cases, advice, trainings, assessed penalties, filing penalties, and lobbyist required training.  The lobbyist and client-employer datasets will focus on the data collected by lobbyists and their clients when they register to lobby in Oregon, their expenditure reports (money spent for the purpose of lobbying), and required trainings. The complaints-correspondence and cases datasets will report on the data, such as jurisdiction, issue, location, etc., that is obtained on the complaints filed with OGEC. The advice and trainings datasets will report on the types of advice requested, jurisdictions, and the trainings requested and completed. The penalties datasets will report on the types of penalties assessed by OGEC, the amounts, the reasons for penalties, the jurisdictions, and the collection rate. OGEC is currently analyzing the additional datasets that addition of Public Meetings Law will bring, such as the list of approved Public Meetings Law trainings.","2025"
"OHA","Oregon Health Authority","OREGON HEALTH AUTHORITY","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Health Authority (OHA) is the organization at the forefront of lowering and containing costs, improving quality, and increasing access to health care to improve the lifelong health of Oregonians. OHA is responsible for most state health care programs, including Public Health and the Oregon Health Plan. The Health Authority is working to fundamentally improve how health care is delivered and paid for, but because poor health is only partially due to lack of medical care, OHA will also be working to reduce health disparities and to broaden the state's focus on prevention.
OHA remains in the PLANNING phase of the Open Data project while efforts continue to establish agency data governance, engage with partners to meaningful plan for data publication, and improve data management technologies. 

In April 2024, an agency reorganization resulted in the establishment of the Office of Data Strategy and Operations within the Agency Operations Division with the purpose to promote, elevate and align equity in OHA service delivery using data and systems. This office will lead the planning, assessment, and determination of strategic direction for enterprise-wide data management and governance.

Due to the size of OHA and the complexity of data it is custodian to, OHA is engaging with industry leaders to support data management and governance initiatives.  In early 2023, the agency partnered with Info-Tech Research Group to conduct a current state assessment of OHA’s data management maturity, to develop a high-level data strategy, and to develop a high-level implementation roadmap of data governance initiatives. This work is being continued through a twelve-month contract with contractor BerryDunn initiated in April 2024. As a result of this current engagement, OHA will establish a strategic Data Governance Council and a tactical Data Governance Steering Committee to begin creating strategic, tactical, and operational layers of data governance necessary for the effective management of data. 

OHA also recognizes its role in both setting the conditions for and supporting action on community-led data justice efforts. As custodian to a vast amount of data, it is imperative that data publication be reflective of community-driven needs, challenges and strengths; representative of community; and that it is managed in ways that promote community self-determination (Coalition of Communities of Color). Simply put, OHA should not alone be determining which datasets are of high public value but rather should empower communities to tell us what they need and how they’d like their data to be used. This effort requires careful planning and extensive community engagement that will span multiple years. Failure to reflect community need and values in our published data would materially jeopardize OHA’s efforts to eliminate health inequities. 
Simultaneously, an engagement is underway to assess opportunities for data cataloging, data quality, and data inventory tools to better describe and continuously manage OHA’s existing data landscape. Following this assessment, OHA anticipates procuring a solution or set of solutions that facilitate more strategic use of OHA-managed data. 

By prioritizing data governance, empowering community to do data justice and advancing data management, we can ensure that the data we publish is not only accurate and reliable but is also representative of those we serve.","2025"
"OHCS","Oregon Housing and Community Services","HOUSING & COMM SRVCS, DEPT OF","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","PENDING","PENDING",,"2025"
"OLCC","Oregon Liquor & Cannabis Commission","LIQUOR & CANNABIS COM, OR","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","Our Mission: OLCC's mission is to support businesses, public safety, and community livability through education and the enforcement of liquor and marijuana laws. In support of that mission, we issue licenses to companies and organizations that sell liquor and cannabis products, and issue permits to the individuals that work for those companies and organizations. As part of the permitting process, we certify server education providers. We also sell the liquor to as a means of limiting access to minors. The monies we collect from the sales and licensing are allocated to the general fund amongst the cities and counties of Oregon for mental health alcoholism & drug services and other revenue sharing.


We are currently publishing liquor pricing data and plan to have Liquor Sales data, Marijuana sales data and Revenue Distribution data published by the end of the biennium. The process of moving to a new licensing, permitting and compliance system is almost complete and we expect to be publishing that data late in this biennium or early in the next.","2025"
"OMB","Oregon Medical Board","MEDICAL BRD, OR","HEALTH","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon Medical Board (OMB) protects the health, safety, and wellbeing of Oregon citizens by regulating the practice of medicine in a manner that promotes access to quality care. The OMB licenses Medical Doctors (MD), Doctors of Osteopathic Medicine (DO), Podiatric Physicians (DPM), Physician Assistants/Associates (PA), and Acupuncturists (LAc). In addition to its licensing functions, the OMB conducts investigations, imposes disciplinary action, and supports rehabilitation, education, and research to further its legislative mandate to protect the citizens of Oregon. The OMB is also responsible for establishing the scope of practice for Emergency Medical Services (EMS) Providers.

The OMB updated an inventory of datasets summarizing the data created by agency divisions in carrying out core business functions and identified data related to licenses issued by the agency as the most valuable for publication. This dataset includes license and practice details such as type, status, issue and expiration dates, limitation, specialty, practice location, and public order status. The OMB will be in a publishing phase in the upcoming biennium, focusing on preparing the dataset of licenses issued for publication on data.oregon.gov at some point in the latter part of the biennium. Activities will include assessing privacy protections, cleaning the data, building an extraction process, testing, and drafting metadata and a data dictionary. The OMB will also be evaluating existing and new datasets as part of a business suite system modernization project currently underway.","2025"
"OMCB","Oregon Mortuary and Cemetery Board","MORTUARY & CEMETERY, ST BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2025"
"OMD","Oregon Military Department","MILITARY, DEPT OF","PUBLIC SAFETY","COMPLETED","PENDING","PENDING","PENDING",,"2025"
"OPRD","Oregon Parks & Recreation Department","PARKS & RECREATION, DEPT OF","NATURAL RESOURCES","COMPLETED","PENDING","PENDING","PENDING",,"2025"
"ORC","Racing Commission","RACING CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Racing Commission is dedicated to promoting the highest standards of safety and integrity within the equine racing industry, both on-ground and online. Our mission is to safeguard the welfare of athletes, both human and equine, with a steadfast commitment to the best interests of our citizenry, licensees, participants, and the economy.
ORC has identified data sets that are related to greyhound and horse racing and data sets that are related to licenses for OTB’s, ADW’s and Fair meets. Allowable publications are published on the ORC website","2025"
"OREA","Oregon Real Estate Agency","REAL ESTATE AGY","TRANSPORTATION AND ECONOMIC DEVELOPMENT","COMPLETED","COMPLETED","PENDING","PENDING",,"2025"
"OSBN","Oregon State Board of Nursing","NURSING, BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon State Board of Nursing (OSBN) protects the public through the regulation of nursing and promoting the wellness of nursing professionals. It regulates certified nursing assistants, certified medication aides, licensed practical nurses, registered nurses, and advanced practice registered nurses by setting educational and training standards, standards for licensure, and compliance with the Nurse Practice Act.

The OSBN has updated an inventory of datasets summarizing the data created by agency divisions in carrying out core business functions and identified data related to licensing, education, and enforcement as the most ready and valued datasets to publish during the upcoming biennium. This dataset includes license and practice details such as license type, status, issue and expiration dates, and public disciplinary order status. The OSBN will be in a planning phase in the upcoming biennium, focusing on preparing the dataset of licenses issued for publication on data.oregon.gov at some point in the latter part of the biennium.","2025"
"OSFM","Office of the State Fire Marshal","STATE FIRE MARSHAL, OR","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon State Fire Marshal (OSFM) is committed to its mission, to protect people, property, and the environment from fire and hazardous materials. In alignment with this mission, the OSFM's open data plan is designed to enhance the accessibility and utility of fire, hazardous materials, and community safety data for the public, fire service, and other partners. The plan will focus on improving existing high-priority datasets already published on the OSFM’s website (approximately 7 – 9 datasets), ensuring they meet the four or five-star rating on the Open Data Maturity Rating. This includes making datasets available in a downloadable .CSV format, providing an API endpoint for data download, and including comprehensive metadata and data dictionaries. To ensure future consistency with this initiative, an agency-wide procedure will be established to ensure that all new datasets published on the OSFM website adhere to the four or five-star rating.  

Furthermore, in accordance with ORS 276A.350-374, the OSFM will also publish the metadata to the Oregon Open Data Portal as ""External Datasets"" and link to the dataset(s) on the OSFM’s website. This will facilitate the findability, accessibility, interoperability, and reusability (FAIR) of data, allowing for increased visibility and discoverability by various stakeholders. 

By implementing these measures, the OSFM aims to foster a culture of openness and innovation, enabling better decision-making and enhancing public safety through more informed community engagement and resource allocation. The open data plan not only aligns with the OSFM's mission but also supports the broader goals of transparency and accountability in government operations, ensuring that Oregon remains a leader in data-driven emergency response and fire prevention strategies.","2025"
"OSMB","Oregon State Marine Board","MARINE BOARD","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon State Marine Board (OSMB) is Oregon's recreational boating agency. Our mission is to serve Oregon's recreational boating public through education, enforcement, access, and environmental stewardship for a safe and enjoyable experience. OSMB is in the publishing phase of the Open Data Standard. Our goal is to bring a selection of high-priority datasets to a five-star open data rating. Meeting this goal is realized by updating and refreshing datasets in the Data.Oregon.Gov portal, creating metadata and improving public datasets currently available through public web applications such as GIS layers, or datasets available to download in other formats like .csv. The datasets identified in OSMB's inventory embody the data created by the agency for each section and program area to carry out its mission. Preparation and publication of the datasets will continue through the biennium.","2025"
"OSP","Oregon State Police","POLICE, OREGON STATE","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","POLICE, OREGON STATE	OSP Open Data Plan (2024-26)  

Comprised of over 80 public safety programs, the Oregon State Police (OSP) is a multi-dimensional organization charged with protecting the people, wildlife, and natural resources in Oregon.  To accomplish this charge, OSP enforces the traffic laws on the state’s roadways, investigates and solves crime, conducts post-mortem examinations and forensic analysis, and provides background checks and law enforcement data.  We regulate gaming and the handling of hazardous materials, and enforce fish, wildlife and natural resource laws.  These programs operate across the state and are interconnected with local, state, regional, and federal organizations.  The datasets identified in OSP’s inventory relate to the activities undertaken by the divisions and programs of the Department in support of its public safety mission.    

As part of the Department’s efforts to comply with the State of Oregon’s open data mandate (ORS 276A.350-374) and make its data as findable, accessible, interoperable, and reusable (FAIR) to the public as possible, OSP completed an initial inventory of its core programs and systems.  For open data purposes, OSP considered the datasets with a “High” priority level as they represent the Department’s data with the highest level of readiness, value, and publishability.  An evaluation of OSP’s high priority datasets identified several that are already published in a machine-readable format available to the public.  These datasets include Oregon’s Uniform Crime Reporting Offense Data, Hate Crime Data, Arrest Data, and Police Employee Data.  Outside of these datasets, OSP had several other high priority datasets that are shared publicly via a dashboard or report (e.g., citations and warnings, dispatch events, etc.).  Under normal circumstances, OSP would identify these datasets as strong candidates to be published via the data.oregon.gov portal.  Unfortunately, with several of OSP’s major systems undergoing largescale upgrades, the Department does not have the capacity to commit to publishing these (or any other) datasets via the data.oregon.gov portal this biennium (2024-26).  However, OSP will be developing a plan to mature its high priority datasets toward reaching a 5-star open data maturity rating in future biennia and will reevaluate its capacity after these upgrades are completed.","2025"
"OTLB","Occupational Therapy Licensing Board","OCCUP THERAPY LICENSING BRD","HEALTH","COMPLETED","COMPLETED","PENDING","PENDING",,"2025"
"OVMEB","Oregon Veterinary Medical Examining Board","VETERINARY MEDICAL EXAM BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2025"
