"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
status_of_ae3,adverse_event_form_r,,radio,"Outcome (Status of the AE)","0, Resolved | 1, Resolved with sequelae | 2, Fatal | 3, Resolving | 4, Not resolved (i.e., ongoing or worsening) | 5, Unknown",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
resolution_date3,adverse_event_form_r,,text,"Resolution date",,,date_dmy,,,,"[status_of_ae3] = '0' or [status_of_ae3] = '1'",,,,,,
ae_attributed3,adverse_event_form_r,,radio,"Was the AE attributed to one or more anti-tuberculosis drugs?","0, Definite | 1, Probable | 2, Possible | 3, Unlikely | 4, Not related | 5, Insufficient data to assess",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
likely_drugs3,adverse_event_form_r,,notes,"Record likely drug(s) that the AE may be attributed to (enter drug abbreviation from the Field Manual)",,,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
investigator_narrative3,adverse_event_form_r,,radio,"Investigator Narrative ","0, Narrative 1 | 1, Narrative 2 | 2, Narrative 3",,,,,,"[cardiovascular_ae3] = '0' or [cardiovascular_ae3] = '1' or [chemistry_ae3] = '0' or [chemistry_ae3] = '1' or [chemistry_ae3] = '2' or [ear_ae3] = '0' or [ear_ae3] = '1' or [ear_ae3] = '2' or [endocrine_ae3] = '0' or [enzymes_ae3] = '0' or [enzymes_ae3] = '1' or [eye_ae3] = '0' or [eye_ae3] = '1' or [eye_ae3] = '2' or [eye_ae3] = '3' or [gastrointestinal_ae3] = '0' or [gastrointestinal_ae3] = '1' or [gastrointestinal_ae3] = '2' or [gastrointestinal_ae3] = '3' or [gastrointestinal_ae3] = '5' or [haematology_ae3] = '0' or [haematology_ae3] = '1' or [haematology_ae3] = '2' or [immune_ae3] = '0' or [immune_ae3] = '1' or [immune_ae3] = '2' or [musculoskeletal_ae3] = '0' or [musculoskeletal_ae3] = '1' or [musculoskeletal_ae3] = '2' or [musculoskeletal_ae3] = '3' or [neurological_ae3] = '0' or [neurological_ae3] = '1' or [neurological_ae3] = '2' or [neurological_ae3] = '3' or [reproductive_ae3] = '0' or [psychiatric_ae3] = '0' or [psychiatric_ae3] = '1' or [psychiatric_ae3] = '2' or [psychiatric_ae3] = '3' or [psychiatric_ae3] = '4' or [renal_ae3] = '0' or [renal_ae3] = '1' or [renal_ae3] = '2' or [renal_ae3] = '3' or [renal_ae3] = '4' or [skin_ae3] = '0' or [skin_ae3] = '1' or [skin_ae3] = '2' or [skin_ae3] = '3'",,,,,,
narrative3,adverse_event_form_r,,notes,Narrative,,,,,,,"[investigator_narrative3] = '0' or [investigator_narrative3] = '1' or [investigator_narrative3] = '2'",,,,,,
other_action3,adverse_event_form_r,,notes,"Other action taken",,,,,,,"[investigator_narrative3] = '0' or [investigator_narrative3] = '1' or [investigator_narrative3] = '2'",,,,,,
ae_still_ongoing3,adverse_event_form_r,,radio,"Is the adverse event still ongoing?","1, Stopped | 2, Still Present",,,,,,"[another_ae_occur2] = '0'",,,,,,
ae_stopped_date3,adverse_event_form_r,,text,"Date stopped",,,date_dmy,,,,"[ae_still_ongoing3] = '1'",,,,,,
discontinued3,adverse_event_form_r,,radio,"Did the adverse event cause the subject to be discontinued from the study?","0, Yes | 1, No",,,,,,"[another_ae_occur2] = '0'",,,,,,
reported_to_irb3,adverse_event_form_r,,radio,"Has this event been reported to the Local IRB?","0, Yes | 1, No",,,,,,"[another_ae_occur2] = '0'",,,,,,
conc_drug,concomitant_medication_form_r,,yesno,"Did concomitant drug was given to Subjects",,,,,,,,,,,,,
drug,concomitant_medication_form_r,,notes,"Please record the drug .",,,,,,,"[conc_drug] = '1'",,,,,,
date_started1,concomitant_medication_form_r,,text,"Date started",,,date_dmy,,,,"[drug] > '06/06/2020'",,,,,,
ongoing_treatment1,concomitant_medication_form_r,,yesno,"Ongoing treatment because of chronic condition",,,,,,,"[conc_drug] = '1'",,,,,,
date_stopped1,concomitant_medication_form_r,,text,"Date stopped",,,date_dmy,,,,"[ongoing_treatment1] = '0'",,,,,,
route1,concomitant_medication_form_r,,radio,Route,"1, Topical | 2, Per rectum | 3, Intranasal | 4, Into conjuctival sac | 5, Subcutaneous | 6, Per vagina | 7, Into auditory meatus | 8, Intramuscular | 9, By mouth | 10, Intravenous | 11, Inhaled | 12, Sublingual | 13, Transdermal | 14, Other",,,,,,"[conc_drug] = '1'",,,,,,
other_route1,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[route1] = '14'",,,,,,
frequency1,concomitant_medication_form_r,,radio,Frequency,"1, One daily | 2, 2times per day | 3, 3times per day | 4, 4times per day | 5, as occasion requires | 6, Every other day | 7, Every week | 8, Every month | 9, Once | 10, Other",,,,,,"[conc_drug] = '1'",,,,,,
other_frequency1,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[frequency1] = '10'",,,,,,
indication1,concomitant_medication_form_r,,radio,Indication,"1, Adverse event | 2, Medical history | 3, Other",,,,,,"[conc_drug] = '1'",,,,,,
other_indication1,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[indication1] = '3'",,,,,,
conc_drug2,concomitant_medication_form_r,,yesno,"Did another concomitant drug was given to subject?",,,,,,,"[conc_drug] = '1'",,,,,,
drug2,concomitant_medication_form_r,,notes,"Please record the drug .",,,,,,,"[conc_drug2] = '1'",,,,,,
date_started2,concomitant_medication_form_r,,text,"Date started",,,date_dmy,,,,"[conc_drug2] = '1'",,,,,,
ongoing_treatment2,concomitant_medication_form_r,,yesno,"Ongoing treatment because of chronic condition",,,,,,,"[conc_drug2] = '1'",,,,,,
route2,concomitant_medication_form_r,,radio,Route,"1, Topical | 2, Per rectum | 3, Intranasal | 4, Into conjuctival sac | 5, Subcutaneous | 6, Per vagina | 7, Into auditory meatus | 8, Intramuscular | 9, By mouth | 10, Intravenous | 11, Inhaled | 12, Sublingual | 13, Transdermal | 14, Other",,,,,,"[conc_drug2] = '1'",,,,,,
other_route2,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[route2] = '14'",,,,,,
frequency2,concomitant_medication_form_r,,radio,Frequency,"1, One daily | 2, 2times per day | 3, 3times per day | 4, 4times per day | 5, as occasion requires | 6, Every other day | 7, Every week | 8, Every month | 9, Once | 10, Other",,,,,,"[conc_drug2] = '1'",,,,,,
other_frequency2,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[frequency2] = '10'",,,,,,
indication2,concomitant_medication_form_r,,radio,Indication,"1, Adverse event | 2, Medical history | 3, Other",,,,,,"[conc_drug2] = '1'",,,,,,
other_indication2,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[indication2] = '3'",,,,,,
conc_drug3,concomitant_medication_form_r,,yesno,"Did another concomitant drug was given to subject?",,,,,,,"[conc_drug2] = '1'",,,,,,
drug3,concomitant_medication_form_r,,notes,"Please record the drug .",,,,,,,"[conc_drug3] = '1'",,,,,,
date_started3,concomitant_medication_form_r,,text,"Date started",,,date_dmy,,,,"[conc_drug3] = '1'",,,,,,
ongoing_treatment3,concomitant_medication_form_r,,yesno,"Ongoing treatment because of chronic condition",,,,,,,"[conc_drug3] = '1'",,,,,,
route3,concomitant_medication_form_r,,radio,Route,"1, Topical | 2, Per rectum | 3, Intranasal | 4, Into conjuctival sac | 5, Subcutaneous | 6, Per vagina | 7, Into auditory meatus | 8, Intramuscular | 9, By mouth | 10, Intravenous | 11, Inhaled | 12, Sublingual | 13, Transdermal | 14, Other",,,,,,"[conc_drug3] = '1'",,,,,,
other_route3,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[route3] = '14'",,,,,,
frequency3,concomitant_medication_form_r,,radio,Frequency,"1, One daily | 2, 2times per day | 3, 3times per day | 4, 4times per day | 5, as occasion requires | 6, Every other day | 7, Every week | 8, Every month | 9, Once | 10, Other",,,,,,"[conc_drug3] = '1'",,,,,,
other_frequency3,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[frequency3] = '10'",,,,,,
indication3,concomitant_medication_form_r,,radio,Indication,"1, Adverse event | 2, Medical history | 3, Other",,,,,,"[conc_drug3] = '1'",,,,,,
other_indication3,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[indication3] = '3'",,,,,,
conc_drug4,concomitant_medication_form_r,,yesno,"Did another concomitant drug was given to subject?",,,,,,,"[conc_drug3] = '1'",,,,,,
drug4,concomitant_medication_form_r,,notes,"Please record the drug .",,,,,,,"[conc_drug4] = '1'",,,,,,
started_date4,concomitant_medication_form_r,,text,"Date started",,,,,,,"[conc_drug4] = '1'",,,,,,
ongoing_treatment4,concomitant_medication_form_r,,yesno,"Ongoing treatment because of chronic condition",,,,,,,"[conc_drug4] = '1'",,,,,,
route4,concomitant_medication_form_r,,radio,Route,"1, Topical | 2, Per rectum | 3, Intranasal | 4, Into conjuctival sac | 5, Subcutaneous | 6, Per vagina | 7, Into auditory meatus | 8, Intramuscular | 9, By mouth | 10, Intravenous | 11, Inhaled | 12, Sublingual | 13, Transdermal | 14, Other",,,,,,"[conc_drug4] = '1'",,,,,,
other_route4,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[route4] = '14'",,,,,,
frequency4,concomitant_medication_form_r,,radio,Frequency,"1, One daily | 2, 2times per day | 3, 3times per day | 4, 4times per day | 5, as occasion requires | 6, Every other day | 7, Every week | 8, Every month | 9, Once | 10, Other",,,,,,"[conc_drug4] = '1'",,,,,,
other_frequency4,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[frequency4] = '10'",,,,,,
indication4,concomitant_medication_form_r,,radio,Indicataion,"1, Adverse event | 2, Medical history | 3, Other",,,,,,"[conc_drug4] = '1'",,,,,,
other_indication4,concomitant_medication_form_r,,notes,Specify:,,,,,,,"[indication4] = '3'",,,,,,
subject_initial_imp,imp_administration,,text,"Patient Initials",,"e.g. KLO",,,,,,y,,,,,
visit_date,imp_administration,,text,"Visit Date",,"e.g. 06/12/2020",date_dmy,,,,,y,,,,,
visit_imp,imp_administration,,dropdown,"Visit ","0, Baseline Assessment | 16, Week 1 | 17, Week 2 | 1, MT 1 | 2, MT 2 | 3, MT 3 | 4, MT 4 | 5, MT 5 | 6, MT 6 | 7, MT 7 | 8, MT 8 | 9, MT 9 | 10, MT 10 | 11, MT 11/12 | 12, MF 12 | 13, MF 15 | 14, MF 18 | 15, MF 21",,,,,,,y,,,,,
day_number_week,imp_administration,,text,"Day number/week/Month",,D|_|_|/W|_|_|,,,,,,,,,,,
quantity_dispensed_base,imp_administration,,text,"Quantity of IMP Dispensed",,,number,,,,,y,,,,,
nac,imp_administration,,text,NAC,,,number,,,,"[quantity_dispensed_base] > 0",y,,,,,
imp_time,imp_administration,,text,"Time IMP taken at the visit",,"e.g. 01:30",time,,,,,,,,,,
meal_prior_date,imp_administration,,text,"Date and time of last meal prior to dose",,"e.g. 06/12/2020 01:30",datetime_dmy,,,,,,,,,,
meal_after_date,imp_administration,,text,"Date and time of meal after dose",,"e.g. 06/12/2020 01:30",datetime_dmy,,,,,,,,,,
comment_imp,imp_administration,,notes,Comments:,,,,,,,,,,,,,
subject_initial_imp_ccfebf,imp_compliance,,text,"Patient Initials",,"e.g. KLO",,,,,,y,,,,,
visit_date_45fbcf,imp_compliance,,text,"Visit Date",,"e.g. 06/12/2020",date_dmy,,,,,y,,,,,
visit_imp_c04c2c,imp_compliance,,dropdown,"Visit ","0, Baseline Assessment | 16, Week 1 | 17, Week 2 | 1, MT 1 | 2, MT 2 | 3, MT 3 | 4, MT 4 | 5, MT 5 | 6, MT 6 | 7, MT 7 | 8, MT 8 | 9, MT 9 | 10, MT 10 | 11, MT 11/12 | 12, MF 12 | 13, MF 15 | 14, MF 18 | 15, MF 21",,,,,,,y,,,,,
day_number_week_fd9919,imp_compliance,,text,"Day number/week/Month",,D|_|_|/W|_|_|,,,,,,,,,,,
quantity_dispensed_base_8786c6,imp_compliance,,text,"Quantity of IMP Dispensed",,,number,,,,,y,,,,,
nac_compriance,imp_compliance,,text,NAC,,,number,,,,"[quantity_dispensed_base_8786c6] > 0",y,,,,,
imp_time_293f4d,imp_compliance,,text,"Time IMP taken at the visit",,"e.g. 01:30",time,,,,,,,,,,
meal_prior_date_b806c4,imp_compliance,,text,"Date and time of last meal prior to dose",,"e.g. 06/12/2020 01:30",datetime_dmy,,,,,,,,,,
meal_after_date_cd6d4a,imp_compliance,,text,"Date and time of meal after dose",,"e.g. 06/12/2020 01:30",datetime_dmy,,,,,,,,,,
comment_imp_d61cea,imp_compliance,,notes,Comments:,,,,,,,,,,,,,
patient_initials_dst,susceptibility_testing,,text,"Patient initials:",,"e.g. KLO",,,,y,,y,,,,,
dst,susceptibility_testing,,radio,DST,"0, Baseline assessment and screening | 1, Week 8 | 2, Week 12 | 3, Week 16",,,,,,,,,,,,
dst_condition,susceptibility_testing,,radio,"DST condition","0, Done | 1, Not done",,,,,,"[dst] = '0' or [dst] = '1' or [dst] = '2'",,,,,,
date_sputum_collection_dst,susceptibility_testing,,text,"Date of sputum collection:",,,date_dmy,,,,"[dst_condition] = '0'",,,,,,
sputum_was_taken_dst,susceptibility_testing,,radio,"This sputum was taken at","0, Baseline | 1, Treatment failure | 2, Recurrence | 3, Other",,,,,,"[dst_condition] = '0'",,,,,,
because_dst,susceptibility_testing,,text,"Because of ",,,,,,,"[sputum_was_taken_dst] = '0' or [sputum_was_taken_dst] = '1'",,,,,,
other_dst,susceptibility_testing,,text,Specify:,,,,,,,"[sputum_was_taken_dst] = '3'",,,,,,
bedaquilin,susceptibility_testing,,radio,"Bedaquiline 100mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
linezolid_l,susceptibility_testing,,radio,"Linezolid 600mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
clofazimine,susceptibility_testing,,radio,"Clofazimine 100mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
cycloserine,susceptibility_testing,,radio,"Cycloserine 250mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
delamanid_d,susceptibility_testing,,radio,"Delamanid 50mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
pyridoxin_p,susceptibility_testing,,radio,"Pyridoxine (Vit. B6)","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
levofloxacin,susceptibility_testing,,radio,"Levofloxacin 500mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
pyrazinamide,susceptibility_testing,,radio,"Pyrazinamide 500mg","0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[dst_condition] = '0'",,RH,,,,
other_drug_tested,susceptibility_testing,,text,"Other drugs were tested [name],[name],[name],[name]",,,,,,,"[dst_condition] = '0'",,RH,,,,
drugs_tested_names,susceptibility_testing,,radio,Specify:,"0, Susceptible | 1, Resistant | 2, Indeterminate",,,,,,"[other_drug_tested] <> ''",,RH,,,,
confirm,randomization,,yesno,"It appears that all inclusion criteria have been met and no exclusion criteria have been met. Confirm that the Subject is eligible for the trial and that written informed consent has occured.",,,,,,,,y,RH,,,,
rand_en,randomization,,radio,Randomization,"1, Control | 2, 900mg NAC OD | 3, 900mg NAC BD",,,,,,"[confirm] = '1'",y,RH,,,,
day1visit_date,day_1_source_doc,,text,"Date of Visit",,,date_dmy,,,,,,,,,,
early_morning_date,day_1_source_doc,,text,"Date and time of Early Morining sputum produced by subject",,,datetime_dmy,,,,,,,,,,
mosputum_comment,day_1_source_doc,,notes,"Comments of early morning sputum produced:",,,,,,,,,,,,,
eq_5d_5l,day_1_source_doc,"Patient Reported Health Status Questionnaire and Tuberculosis Symptom Profile",yesno,"EQ-5D-5L VERSION USED completed?",,,,,,,,,RH,,,,
eq_5d_5l_date,day_1_source_doc,,text,"Date and Time of Completion",,,datetime_dmy,,,,,,,,,,
tb_symp_prof,day_1_source_doc,,yesno,"TB Symptoms Profile completed?",,,,,,,,,RH,,,,
tb_prof_date,day_1_source_doc,,text,"Date and Time of Completion",,,datetime_dmy,,,,,,RH,,,,
ae_since_icf,day_1_source_doc,,yesno,"Any adverse events noted since signing of the informed consent?",,,,,,,,,RH,,,,
new_conco_med_since_icf,day_1_source_doc,,yesno,"Any new Concomitant medications or changes to current concomitant medications since signing the informed consent.",,,,,,,,,RH,,,,
vitald1,day_1_source_doc,"Vital Sign Day 1",yesno,"Vital signs assessed?",,,,,,,,,RH,,,,
datetime_assessmentd1,day_1_source_doc,,text,"Date and time of assessment ",,,datetime_dmy,,,,"[vitald1] = '1'",,RH,,,,
predose_vitald1,day_1_source_doc,,yesno,"Vital signs pre-dose",,,,,,,,,RH,,,,
sbpd1,day_1_source_doc,,text,"Systolic Blood Pressure (mmHg)",,,number,91,139,,"[predose_vitald1] = '1'",y,RH,,,,
sbp_outranged1,day_1_source_doc,,yesno,"Confirm, if any values are out of range",,,,,,,"[sbpd1] > 0",,RH,,,,
sbp_significantd1,day_1_source_doc,,yesno,"Clinically significant?",,,,,,,"[sbp_outranged1] = '1'",,RH,,,,
sbp_reportedd1,day_1_source_doc,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[sbp_significantd1] = '1'",,RH,,,,
sbp_aed1,day_1_source_doc,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[sbp_reportedd1] = '1'",,RH,,,,
dbpd1,day_1_source_doc,,text,"Diastolic Blood Pressure (mmHg)",,,number,51,89,,,,RH,,,,
dbp_outranged1,day_1_source_doc,,yesno,"Confirm, if any values are out of range",,,,,,,"[dbpd1] > 0",,RH,,,,
dbp_significantd1,day_1_source_doc,,yesno,"Clinically significant?",,,,,,,"[dbp_outranged1] = '1'",,RH,,,,
dbpae_reportedd1,day_1_source_doc,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,,,RH,,,,
dbp_aed1,day_1_source_doc,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[dbpae_reportedd1] = '1'",,RH,,,,
hrd1,day_1_source_doc,,text,"Heart rate (bpm)",,,number,51,119,,,,RH,,,,
hr_outranged1,day_1_source_doc,,yesno,"Confirm, if any values are out of range",,,,,,,"[hrd1] > 0",,RH,,,,
hr_significantd1,day_1_source_doc,,yesno,"Clinically significant?",,,,,,,"[hr_outranged1] = '1'",,RH,,,,
hrae_reportedd1,day_1_source_doc,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,,,RH,,,,
hr_aed1,day_1_source_doc,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[hrae_reportedd1] = '1'",,RH,,,,
rrd1,day_1_source_doc,,text,"Respiratory rate (breaths per minute)",,,number,12,20,,,,RH,,,,
rr_outranged1,day_1_source_doc,,yesno,"Confirm, if any values are out of range",,,,,,,"[rrd1] > 0",,RH,,,,
rr_significantd1,day_1_source_doc,,yesno,"Clinically significant?",,,,,,,"[rr_outranged1] = '1'",,RH,,,,
rrae_reportedd1,day_1_source_doc,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[rr_significantd1] = '1'",,RH,,,,
btd1,day_1_source_doc,,text,"Axillary Body Temperature (ºC)",,,number,35,37.7,,,,RH,,,,
bt_outranged1,day_1_source_doc,,yesno,"Confirm, if any values are out of range",,,,,,,"[btd1] > 0",,RH,,,,
bt_significantd1,day_1_source_doc,,yesno,"Clinically significant?",,,,,,,"[bt_outranged1] = '1'",,RH,,,,
btae_reportedd1,day_1_source_doc,,radio,"AE Reported ","0, No AE, related to PTB | 1, AE",,,,,,"[bt_significantd1] = '1'",,RH,,,,
bt_aed1,day_1_source_doc,,notes,"Please enter corresponding Adverse Event.",,,,,,,"[btae_reportedd1] = '1'",,,,,,
weightd1,day_1_source_doc,,text,"Weight (kg)",,,number,35,100,,,,,,,,
ped1,day_1_source_doc,"PHYSICAL EXAMINATION -DAY 1",yesno,"Was physical examination performed?",,,,,,,,,RH,,,,
pe_dated1,day_1_source_doc,,text,"Date and time of examination.",,,datetime_dmy,,,,"[ped1] = '1'",,RH,,,,
generald1,day_1_source_doc,,radio,General,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
gen_abnormalityd1,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,,,RH,,,,
gen_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
cardiovasculard1,day_1_source_doc,,radio,Cardiovascular,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
cardio_abnormalityd1,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,"[cardiovasculard1] = '1'",,RH,,,,
cardio_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
respd1,day_1_source_doc,,radio,"Respiratory ","0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
resp_abnormalityd1,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,"[respd1] = '1'",,RH,,,,
resp_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
abdomend1,day_1_source_doc,,radio,Abdomen,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
abd_abnormalityd1,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,"[abdomend1] = '1'",,RH,,,,
abd_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
gastd1,day_1_source_doc,,radio,Gastrointestinal,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
gast_abnormality,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,"[gastd1] = '1'",,RH,,,,
gast_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
otherd1,day_1_source_doc,,radio,Others,"0, Normal | 1, Abnormal | 2, Not done",,,,,,"[ped1] = '1'",,RH,,,,
other_abnormalityd1,day_1_source_doc,,notes,"Details of any abnormality ",,,,,,,"[otherd1] = '1'",,RH,,,,
other_aed1,day_1_source_doc,,radio,"AE Reported: ","0, No AE, related to PTB | 1, AE | 2, No AE",,,,,,,,RH,,,,
schedule_nexvisit_dated1,day_1_source_doc,Procedures,text,"Date and time of Scheduled next visit:",,,datetime_dmy,,,,,y,RH,,,,
screen_resultd1,day_1_source_doc,"IMP Randomization Assignment",yesno,"Are all of screening results available?",,,,,,,,,RH,,,,
eligibled1,day_1_source_doc,,yesno,"Is the subject eligible for the trial? ",,,,,,,,,RH,,,,
rand_no,day_1_source_doc,,text,"Enter Randomization Number patient Assigned",,,,,,,,,RH,,,,
imp_date,day_1_source_doc,,text,"Date and time of IMP administration.",,,datetime_dmy,,,,,,,,,,
treat_kit,day_1_source_doc,,yesno,"Did the subject need to be assigned another treatment kit?",,,,,,,,,RH,,,,
kit_no,day_1_source_doc,,text,"If yes, Treatment kit number ",,,number,,,,,,RH,,,,
